,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
3,Duncan,Gabe,2,5,5,1,1,0,0,0,0,0,0,0,0,0,0,2,.200,.200,.200,.400,.000,.000,.600,1,0,0,.000,0,0,0,0,1,.000,1.000,24,4.800,0,.000,2,.400,0.00%,100.00%,0,0,1,0,0,2,40.00%,.333,14.1,4,2,1,1,0,0,0,.000,7,7,0,5,14,2,.000,.837,60,211,136,75,14.721,3.517,30,.500,12,8,5,8,2.673,.645,34,.567,.735,.088,.147,.349,9,0,0,0,0,53,28,.133,8.791,.233,2.800,.711,.289,.342,.658,10,17,.588,.132,0,.179,12,0,0,6,1,.857,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,0,4,0,0,0,1.000,0.0,0,0,0,.000,0,0
5,Howe,Isaac,5,20,17,7,6,1,0,0,2,4,0,0,1,0,3,2,.412,.500,.471,.971,6.667,1.500,.882,0,0,0,.000,0,3,0,1,8,.000,.667,61,3.050,1,.050,3,.150,26.67%,60.00%,0,0,6,1,6,11,55.00%,.467,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,26,1,25,0,2,0,1.000,0.0,0,0,0,.000,0,0
7,Reed,Peyton,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,.000,.500,1,0,0,.000,0,0,0,0,0,.000,.000,10,2.500,0,.000,0,.000,0.00%,50.00%,0,0,2,0,1,1,25.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,7,1,6,0,1,0,1.000,0.0,0,0,0,.000,0,0
8,Sayles,Toby,3,13,9,3,3,0,0,0,3,2,1,0,1,0,3,3,.333,.538,.333,.872,4.333,1.000,.667,2,0,0,.000,0,0,0,0,3,.000,.333,38,2.923,1,.077,1,.077,0.00%,50.00%,0,0,3,0,4,8,61.54%,.500,7.0,2,1,0,0,0,0,0,.000,7,2,1,4,5,0,1.286,1.571,33,104,67,37,14.857,3.152,20,.606,4,1,1,2,3.470,.644,25,.758,.720,.080,.200,.571,3,1,1,1,0,27,15,.144,6.429,.152,1.250,.652,.348,.522,.478,7,7,1.000,.259,0,.304,10,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,11,2,8,1,1,0,.909,0.0,0,0,0,.000,0,0
9,Liking,Tom,4,10,8,2,2,0,0,0,2,0,0,0,0,0,1,2,.250,.300,.250,.550,10.000,.500,.750,0,0,0,.000,0,0,0,0,2,.000,.000,32,3.200,1,.100,1,.100,42.86%,42.86%,0,1,2,0,2,4,40.00%,.286,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,6,1,4,1,0,0,.833,0.0,0,0,0,.000,0,0
11,Stratton,Ashwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,12.0,3,1,0,1,0,0,0,.000,12,5,5,6,10,0,3.750,1.500,52,202,129,73,16.833,3.885,23,.442,8,6,3,5,4.055,.639,35,.673,.686,.057,.200,.500,9,1,0,0,0,45,17,.084,7.500,.192,1.667,.778,.222,.571,.429,14,7,2.000,.267,1,.324,8,0,1,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,2,2,0,0,0,1.000,0.0,0,0,0,.000,0,0
12,Savelkoul,Henry,2,9,8,1,1,0,0,0,2,0,1,0,0,0,0,3,.125,.222,.125,.347,.000,.000,.625,2,0,0,.000,0,0,0,0,1,.000,.333,32,3.556,2,.222,1,.111,40.00%,40.00%,0,0,6,0,1,3,33.33%,.200,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,11,0,10,1,0,0,.909,15.0,1,0,0,.000,0,1
12,Pilon,Noah,6,23,23,2,1,1,0,0,0,0,0,1,2,0,0,7,.087,.087,.130,.217,.000,.000,.696,3,0,0,.000,0,1,0,1,3,.000,.200,65,2.826,1,.043,2,.087,37.50%,62.50%,0,0,15,0,2,5,21.74%,.125,3.0,1,0,0,0,0,0,0,.000,3,0,0,0,1,0,.000,1.000,12,28,22,6,9.333,2.333,10,.833,1,1,0,3,2.510,.786,8,.667,.625,.000,.250,.000,3,0,0,0,0,11,2,.071,3.000,.083,.000,.818,.182,.300,.700,3,5,.600,.273,0,.300,3,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,19,4,13,2,0,0,.895,0.0,0,0,0,.000,0,0
22,Weidieman,Bryan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,1.000,0,0,0,.000,0,0,0,0,0,.000,.000,6,6.000,1,1.000,1,1.000,0.00%,100.00%,0,0,0,0,0,1,100.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
